post_id,account_id,campaign_id,content_theme,format,published_at,caption,post_url
POST-001,SOC-103,CMP-2025-01,Lighting Unboxing & Sunset Vibe,Static Photo,2025-01-10 13:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-001
POST-002,SOC-104,CMP-2025-01,Cyber Sale Flash Promo,Static Photo,2025-02-04 12:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-002
POST-003,SOC-103,CMP-2025-01,Desk Tour Aesthetic,Carousel,2025-02-11 17:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-003
POST-004,SOC-102,CMP-2025-01,Cyber Sale Flash Promo,Static Photo,2025-02-06 17:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-004
POST-005,SOC-101,CMP-2025-01,Lighting Unboxing & Sunset Vibe,Long Video Unboxing,2025-01-10 16:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #instagram,https://instagram.com/auraliving/p/post-005
POST-006,SOC-102,CMP-2025-01,Lighting Unboxing & Sunset Vibe,Static Photo,2025-01-28 19:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #tiktok,https://tiktok.com/auraliving/p/post-006
POST-007,SOC-103,CMP-2025-01,Desk Tour Aesthetic,Long Video Unboxing,2025-01-19 20:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-007
POST-008,SOC-103,CMP-2025-01,Productivity ASMR,Long Video Unboxing,2025-02-14 17:00:00,Transform your home desk setup for 2025 with ergonomic perfection ✨ Check out our PRD-101! #homeoffice #desksetup #youtube,https://youtube.com/auraliving/p/post-008
POST-009,SOC-104,CMP-2025-02,Ergonomic Posture Tips,Carousel,2025-04-02 11:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-009
POST-010,SOC-104,CMP-2025-02,Cyber Sale Flash Promo,Reels / Short Video,2025-03-11 17:00:00,Light up your space and create viral ambient desk aesthetics ✨ Check out our PRD-202! #homeoffice #desksetup #meta ads page,https://meta ads page.com/auraliving/p/post-010
